Protein,Coefficient
ENSG00000140598,-0.10519508705469498
ENSG00000132744,-0.09757093010715132
ENSG00000138439,0.09590808974682087
ENSG00000107581,-0.09534848572448908
ENSG00000139219,0.09437869531369199
ENSG00000130589,0.09037396891498856
ENSG00000145868,0.08880287324843204
ENSG00000198380,-0.08850753757136345
ENSG00000167657,0.08627020545251785
ENSG00000108622,0.08497831545260329
ENSG00000143862,-0.08488497729418024
ENSG00000126391,0.08300466064981404
ENSG00000203797,0.08237220339060376
ENSG00000082701,0.08152647511110626
ENSG00000101246,0.08044432780494949
ENSG00000037637,0.08028076819652338
ENSG00000102401,0.07969432119026375
ENSG00000166164,-0.0794394733970392
ENSG00000130635,-0.07939268238426792
ENSG00000128918,0.07886879177810513
